,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,target,Age
Education,1.0,0.00601057971479844,0.12069235890931647,-0.045390101722656215,0.12012771551954766,-0.011418202661844836,0.19788629514026926,-0.08246221470202815,0.03996093529190393,-0.11474748247768826,-0.10727879120827798,-0.09708394083472364,0.026207871865264364,0.08242517900615554,0.06904876324567108,0.06779203319202283,-0.040821622200267235,0.005822767693396697,0.0588849087724573,0.03266911640198275,-0.009741208717866857,0.02147726629373715,-0.05086296084713461,0.09080601779180715,0.1710648461886182
Marital_Status,0.00601057971479844,1.0,0.021352847397029834,-0.021718068362697428,-0.0032431226287101722,0.011137721721606375,0.009228819772649922,0.0005591923135064867,0.02780994113296931,0.03420772518449643,0.01565110733819486,0.0008966465168111868,-0.019293729796295137,0.00011772760451422034,0.014930606044176415,0.002603366103162813,-0.026657557466784578,-0.02623359458981945,0.014274398390713436,0.010256030152237389,-0.015569020204498948,0.018908848090815854,-0.005393690720407015,-0.012641150709966707,0.058228774244458686
Income,0.12069235890931647,0.021352847397029834,1.0,-0.42866900796918467,0.019133378179405063,-0.003969755538429371,0.5786497501367387,0.4308416809908738,0.5846333567663218,0.43887135945164113,0.44074379151936854,0.3259164464972651,-0.08310089573037695,0.38787781129179055,0.5891624419343273,0.5293621402734204,-0.5530880116530972,-0.016174440058630012,0.18440036817458086,0.3359432659885299,0.27681986364264505,0.08754477410485566,-0.02722451231447758,0.13304666375157864,0.16179142819632944
Kidhome,-0.045390101722656215,-0.021718068362697428,-0.42866900796918467,1.0,-0.03986909491269764,0.011492148877606401,-0.49733585804824904,-0.3733961018645468,-0.4392605293302491,-0.3888842203052554,-0.3780261275829725,-0.35502942464114273,0.2169130475866851,-0.3719765493465889,-0.5045006219645888,-0.5013488096627505,0.44747694055447784,0.016066022250294954,-0.16202597120826812,-0.20530460075712562,-0.17416308346026005,-0.08186792980170485,0.040977948951332006,-0.0779087218804935,-0.23361461678438017
Teenhome,0.12012771551954766,-0.0032431226287101722,0.019133378179405063,-0.03986909491269764,1.0,0.013837883216177588,0.003746662683131421,-0.17655763847960287,-0.26112238523373393,-0.2052418665057769,-0.1630557773562015,-0.01988723381366726,0.38624630410345656,0.16207718515997702,-0.11269219774843708,0.04973702442961182,0.13124002195157045,-0.04252154241540535,0.038375727599795045,-0.19079132962891837,-0.14485535030427124,-0.015520861256563333,0.003306980000913191,-0.15390119913873612,0.35079057250867324
Recency,-0.011418202661844836,0.011137721721606375,-0.003969755538429371,0.011492148877606401,0.013837883216177588,1.0,0.015721019423318053,-0.005843749911872586,0.022517635114411027,0.0005509232351481579,0.02510977031031601,0.01766263773496973,0.0021154508116066205,-0.005640853762668498,0.02408140757530815,-0.0004338265887671439,-0.01856364340172459,-0.03225726632386708,0.017566258881346348,-0.0004819996751676512,-0.021061220855675345,-0.0014003820869686575,0.01363667026546777,-0.19976636929150263,0.016294899725588837
MntWines,0.19788629514026926,0.009228819772649922,0.5786497501367387,-0.49733585804824904,0.003746662683131421,0.015721019423318053,1.0,0.3870238608948813,0.5688600028034905,0.3977210502397404,0.39032580211914597,0.3927309933121961,0.008885928846518159,0.5537859390502029,0.6347527405610132,0.6400119079346188,-0.3219779006408591,0.06146322133332154,0.37314333590551424,0.473550447360861,0.3514171077786048,0.20618492919071135,-0.03947021117770349,0.24629895700789062,0.15945109606670785
MntFruits,-0.08246221470202815,0.0005591923135064867,0.4308416809908738,-0.3733961018645468,-0.17655763847960287,-0.005843749911872586,0.3870238608948813,1.0,0.5478221664444243,0.5934310502810902,0.5716060634768749,0.39648692442903605,-0.13451209943613016,0.3020388491308559,0.4862630707589945,0.45849103147873843,-0.4187289323674573,0.014423959637837509,0.006395603242838285,0.21287107479087422,0.1918157630946309,-0.009980152400035486,-0.005324098581870991,0.12244267882212094,0.017746520210085638
MntMeatProducts,0.03996093529190393,0.02780994113296931,0.5846333567663218,-0.4392605293302491,-0.26112238523373393,0.022517635114411027,0.5688600028034905,0.5478221664444243,1.0,0.5735740153436658,0.5351361087117303,0.35944628071880613,-0.12130771413541634,0.30709036563638303,0.7341265978631459,0.4860055452848598,-0.5394844166382349,0.018437950940138954,0.09161819640940018,0.3768671184726933,0.31307611216860326,0.043521399455980485,-0.0237819441070392,0.23774641828315587,0.03369674544450875
MntFishProducts,-0.11474748247768826,0.03420772518449643,0.43887135945164113,-0.3888842203052554,-0.2052418665057769,0.0005509232351481579,0.3977210502397404,0.5934310502810902,0.5735740153436658,1.0,0.5838669550256257,0.4271420401285096,-0.14324108564174431,0.29968751037596947,0.5327567837134197,0.45774504320424736,-0.44642329175818335,-0.00021899209055690604,0.016105384537408233,0.19627745116954454,0.2616081098154486,0.0023448969973614508,-0.02122023035141569,0.10814510985482437,0.04042508416794455
MntSweetProducts,-0.10727879120827798,0.01565110733819486,0.44074379151936854,-0.3780261275829725,-0.1630557773562015,0.02510977031031601,0.39032580211914597,0.5716060634768749,0.5351361087117303,0.5838669550256257,1.0,0.35744974733671053,-0.12143192773267662,0.3339372174806106,0.49513581787229005,0.4552251635983501,-0.4223708035871346,0.0017804341899794044,0.029313011665345452,0.2592298737532875,0.24510196257446312,0.010188061683200663,-0.0226412001817123,0.1161703734475162,0.02020441495744574
MntGoldProds,-0.09708394083472364,0.0008966465168111868,0.3259164464972651,-0.35502942464114273,-0.01988723381366726,0.01766263773496973,0.3927309933121961,0.39648692442903605,0.35944628071880613,0.4271420401285096,0.35744974733671053,1.0,0.05190482939144336,0.40706566619258716,0.44242825214836723,0.3891801722259885,-0.2476905571725933,0.1249578642120278,0.024015092911599267,0.1813973755277105,0.17013156126608653,0.05073361018385326,-0.031133459344139035,0.1403316444499485,0.06420769327026418
NumDealsPurchases,0.026207871865264364,-0.019293729796295137,-0.08310089573037695,0.2169130475866851,0.38624630410345656,0.0021154508116066205,0.008885928846518159,-0.13451209943613016,-0.12130771413541634,-0.14324108564174431,-0.12143192773267662,0.05190482939144336,1.0,0.24144031825434095,-0.012118428034188273,0.06610659381931695,0.3460483799648631,-0.023135079994654903,0.016076520490276074,-0.1842529426068536,-0.12737389187862327,-0.03798115053624632,0.0004972466506366478,0.003451073256152576,0.05866805087264471
NumWebPurchases,0.08242517900615554,0.00011772760451422034,0.38787781129179055,-0.3719765493465889,0.16207718515997702,-0.005640853762668498,0.5537859390502029,0.3020388491308559,0.30709036563638303,0.29968751037596947,0.3339372174806106,0.40706566619258716,0.24144031825434095,1.0,0.3868676401456998,0.5162401826934668,-0.05122626307505021,0.04295782900243499,0.1629322581651734,0.14118889093609427,0.1592916660892605,0.034828595290096596,-0.016641779042421617,0.1514312334625439,0.1530513747670212
NumCatalogPurchases,0.06904876324567108,0.014930606044176415,0.5891624419343273,-0.5045006219645888,-0.11269219774843708,0.02408140757530815,0.6347527405610132,0.4862630707589945,0.7341265978631459,0.5327567837134197,0.49513581787229005,0.44242825214836723,-0.012118428034188273,0.3868676401456998,1.0,0.517840451115637,-0.5220037739848213,0.10434509873303167,0.14018199197446132,0.3224705753164749,0.3090257184513369,0.09991528121453742,-0.0208391906218129,0.2199136123036807,0.12176397201297959
NumStorePurchases,0.06779203319202283,0.002603366103162813,0.5293621402734204,-0.5013488096627505,0.04973702442961182,-0.0004338265887671439,0.6400119079346188,0.45849103147873843,0.4860055452848598,0.45774504320424736,0.4552251635983501,0.3891801722259885,0.06610659381931695,0.5162401826934668,0.517840451115637,1.0,-0.4323982572659749,-0.06891258923172716,0.17802019025920685,0.212953710216086,0.1787428895679233,0.08527077669680684,-0.016940707007434427,0.03624112917284234,0.12789072181374891
NumWebVisitsMonth,-0.040821622200267235,-0.026657557466784578,-0.5530880116530972,0.44747694055447784,0.13124002195157045,-0.01856364340172459,-0.3219779006408591,-0.4187289323674573,-0.5394844166382349,-0.44642329175818335,-0.4223708035871346,-0.2476905571725933,0.3460483799648631,-0.05122626307505021,-0.5220037739848213,-0.4323982572659749,1.0,0.06130723471258901,-0.028665889635463914,-0.2778831014680211,-0.19477318052693973,-0.0073616649308966215,0.01978500588725408,-0.002208954040941986,-0.12390393683196442
AcceptedCmp3,0.005822767693396697,-0.02623359458981945,-0.016174440058630012,0.016066022250294954,-0.04252154241540535,-0.03225726632386708,0.06146322133332154,0.014423959637837509,0.018437950940138954,-0.00021899209055690604,0.0017804341899794044,0.1249578642120278,-0.023135079994654903,0.04295782900243499,0.10434509873303167,-0.06891258923172716,0.06130723471258901,1.0,-0.07965858237443767,0.08024761492969107,0.09568286876259005,0.07170217241720112,0.008124113453170467,0.25400486323255694,-0.06178380024839474
AcceptedCmp4,0.0588849087724573,0.014274398390713436,0.18440036817458086,-0.16202597120826812,0.038375727599795045,0.017566258881346348,0.37314333590551424,0.006395603242838285,0.09161819640940018,0.016105384537408233,0.029313011665345452,0.024015092911599267,0.016076520490276074,0.1629322581651734,0.14018199197446132,0.17802019025920685,-0.028665889635463914,-0.07965858237443767,1.0,0.3113144997868341,0.24278177008858737,0.295049565226579,-0.027651941592759625,0.18020529304447308,0.06610852367279324
AcceptedCmp5,0.03266911640198275,0.010256030152237389,0.3359432659885299,-0.20530460075712562,-0.19079132962891837,-0.0004819996751676512,0.473550447360861,0.21287107479087422,0.3768671184726933,0.19627745116954454,0.2592298737532875,0.1813973755277105,-0.1842529426068536,0.14118889093609427,0.3224705753164749,0.212953710216086,-0.2778831014680211,0.08024761492969107,0.3113144997868341,1.0,0.407877927952029,0.22212082088409418,-0.009576350926681113,0.32337384792407603,-0.010574840069471311
AcceptedCmp1,-0.009741208717866857,-0.015569020204498948,0.27681986364264505,-0.17416308346026005,-0.14485535030427124,-0.021061220855675345,0.3514171077786048,0.1918157630946309,0.31307611216860326,0.2616081098154486,0.24510196257446312,0.17013156126608653,-0.12737389187862327,0.1592916660892605,0.3090257184513369,0.1787428895679233,-0.19477318052693973,0.09568286876259005,0.24278177008858737,0.407877927952029,1.0,0.17663707327744818,-0.025593647329387348,0.2973447406527777,0.009610506551183966
AcceptedCmp2,0.02147726629373715,0.018908848090815854,0.08754477410485566,-0.08186792980170485,-0.015520861256563333,-0.0014003820869686575,0.20618492919071135,-0.009980152400035486,0.043521399455980485,0.0023448969973614508,0.010188061683200663,0.05073361018385326,-0.03798115053624632,0.034828595290096596,0.09991528121453742,0.08527077669680684,-0.0073616649308966215,0.07170217241720112,0.295049565226579,0.22212082088409418,0.17663707327744818,1.0,-0.011458504341450727,0.16929370922966702,0.006716955921569739
Complain,-0.05086296084713461,-0.005393690720407015,-0.02722451231447758,0.040977948951332006,0.003306980000913191,0.01363667026546777,-0.03947021117770349,-0.005324098581870991,-0.0237819441070392,-0.02122023035141569,-0.0226412001817123,-0.031133459344139035,0.0004972466506366478,-0.016641779042421617,-0.0208391906218129,-0.016940707007434427,0.01978500588725408,0.008124113453170467,-0.027651941592759625,-0.009576350926681113,-0.025593647329387348,-0.011458504341450727,1.0,-0.0020292937073078535,0.030407246701888446
target,0.09080601779180715,-0.012641150709966707,0.13304666375157864,-0.0779087218804935,-0.15390119913873612,-0.19976636929150263,0.24629895700789062,0.12244267882212094,0.23774641828315587,0.10814510985482437,0.1161703734475162,0.1403316444499485,0.003451073256152576,0.1514312334625439,0.2199136123036807,0.03624112917284234,-0.002208954040941986,0.25400486323255694,0.18020529304447308,0.32337384792407603,0.2973447406527777,0.16929370922966702,-0.0020292937073078535,1.0,-0.023692119864284135
Age,0.1710648461886182,0.058228774244458686,0.16179142819632944,-0.23361461678438017,0.35079057250867324,0.016294899725588837,0.15945109606670785,0.017746520210085638,0.03369674544450875,0.04042508416794455,0.02020441495744574,0.06420769327026418,0.05866805087264471,0.1530513747670212,0.12176397201297959,0.12789072181374891,-0.12390393683196442,-0.06178380024839474,0.06610852367279324,-0.010574840069471311,0.009610506551183966,0.006716955921569739,0.030407246701888446,-0.023692119864284135,1.0
